channel_name,channel_id,category,batch
digitalerchronist_allgemeinchats,1351691068,verschwoerungsideologie,1
diplomateninterviews,1346046298,verschwoerungsideologie,1
dirkschrader,1319031229,verschwoerungsideologie,1
disclosetv,1179270258,verschwoerungsideologie,1
doc_heinrich_fiechtner,1370480594,verschwoerungsideologie,1
dokuq,1288437530,verschwoerungsideologie,1
dr_heinrich_fiechtner,1478893059,verschwoerungsideologie,1
drheidiwichmann,1168032627,verschwoerungsideologie,1
eburd1,1417951088,verschwoerungsideologie,1
ehrenfrautv,1288112941,verschwoerungsideologie,1
ehrlichalexander,1658763645,verschwoerungsideologie,1
eingeschenkt,1189027994,verschwoerungsideologie,1
einmenschkannnuralsmensch,1602855202,verschwoerungsideologie,1
elefant007,1572927884,verschwoerungsideologie,1
elsamittmannsgruber,1184964715,verschwoerungsideologie,1
emis_treptow,1397428685,verschwoerungsideologie,1
endzeitreportmcm,1334361829,verschwoerungsideologie,1
ernstwolff,1420778133,verschwoerungsideologie,1
erwachenwissenschaffen,1417441943,verschwoerungsideologie,1
es_geht_ins_licht,1558639778,verschwoerungsideologie,1
eurasiacoupleoffiziell,1398485991,verschwoerungsideologie,1
evahermanoffiziell,1325174315,verschwoerungsideologie,1
evarosen,1387203553,verschwoerungsideologie,1
exomagazin,1300068881,verschwoerungsideologie,1
exopolitics_deutsch,1403325550,verschwoerungsideologie,1
exspiner,1321555314,verschwoerungsideologie,1
exsuscitati,1433126858,verschwoerungsideologie,1
faktenfriedenfreiheit,1196000400,verschwoerungsideologie,1
fdwoeff,1427045205,verschwoerungsideologie,1
fe_ricopodcast,1178365628,verschwoerungsideologie,1
fedfs,1418360240,verschwoerungsideologie,1
fgnews07,1256729953,verschwoerungsideologie,1
flacheerdegemeinschaft,1428009350,verschwoerungsideologie,1
florianarnoldson,1711698192,verschwoerungsideologie,1
flutoffenefragen,1487030133,verschwoerungsideologie,1
freeyourmindkanal,1153688328,verschwoerungsideologie,1
freieinfo,1317173186,verschwoerungsideologie,1
freiheitdergedanken,1423075120,verschwoerungsideologie,1
freundderwahrheit,1432738904,verschwoerungsideologie,1
frieden_rockt_offiziell,1484233546,verschwoerungsideologie,1
frmawa,1152581935,verschwoerungsideologie,1
fruehwaldinformiert,1436662221,verschwoerungsideologie,1
gaggaland,1173218188,verschwoerungsideologie,1
geheimeswissendereliten,1352568212,verschwoerungsideologie,1
geheinisvollegeschichte,2212004999,verschwoerungsideologie,1
georgswzg,1451175774,verschwoerungsideologie,1
gerhardpoettler,1286672718,verschwoerungsideologie,1
geroldbeneder,1489987192,verschwoerungsideologie,1
globaleserwachen,1261207477,verschwoerungsideologie,1
grapheneagenda,1126651322,verschwoerungsideologie,1
grenzenlosleben,1201566916,verschwoerungsideologie,1
guardiansofgaia,1402056325,verschwoerungsideologie,1
gunnarkaisertv,1362417499,verschwoerungsideologie,1
gwisnewski,1177171390,verschwoerungsideologie,1
handinhandfuersland,1451781956,verschwoerungsideologie,1
haraldkautz,1520503004,verschwoerungsideologie,1
hejtruth,1745063525,verschwoerungsideologie,1
herzensmenschenunited,1168759606,verschwoerungsideologie,1
hinterdenkulissen2,1164479851,verschwoerungsideologie,1
horst250936,1551797544,verschwoerungsideologie,1
ilblist,1885278538,verschwoerungsideologie,1
impfstreik,1565814105,verschwoerungsideologie,1
informationistalles,1442582945,verschwoerungsideologie,1
informationspunktch,2474797247,verschwoerungsideologie,1
initiative_demokratie,1638388811,verschwoerungsideologie,1
kaibrenner,1279783396,verschwoerungsideologie,1
kampf_fuer_unsere_zukunft,1427459854,verschwoerungsideologie,1
kanalchemtrailshaarp,1156161966,verschwoerungsideologie,1
kanaltobiasnews,1341748768,verschwoerungsideologie,1
karinschatzbaechtiger,1460495571,verschwoerungsideologie,1
kenjebsen,1222998917,verschwoerungsideologie,1
kerstintenn,1480460695,verschwoerungsideologie,1
kesselbunte,1370959074,verschwoerungsideologie,1
kilezmore,1290874888,verschwoerungsideologie,1
kinder_schuetzen,1436814594,verschwoerungsideologie,1
klagemauertv,1446149616,verschwoerungsideologie,1
klardenker_kanal,1448169258,verschwoerungsideologie,1
kontextualisierungdefragmentieru,1567922658,verschwoerungsideologie,1
krisenrat,1396121588,verschwoerungsideologie,1
krissyrieger,1437080060,verschwoerungsideologie,1
kulturzentner,1375594699,verschwoerungsideologie,1
legitimnews,1324896663,verschwoerungsideologie,1
lichtsrbeiter,1192507835,verschwoerungsideologie,1
